The test grade was further slightly modified by reducing the pair of questions (7/8 being treated as a pair for this purpose though they are weighted equally)
you did worst on in weight by half.  After this adjustment, the average on the exam was 76 and the median was 78; no further adjustments seem appropriate.  Some students
did get small increments to their grades on a question or two from their takehome papers.

Test ID   Test I grade

1         84 B

2         78 C

3         68 D

4         98 A

6         70 C

10        39 F

11        92 A

12        55 F

14        99 A
